datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-07-15 00:00:00,1993.82,2007.7,1972.01,2003.43,151672.262,301957646.33741,130306,79976.63,159315762.87125
2021-07-15 01:00:00,2003.44,2042.1,1997.39,2000.08,269585.8,545806974.12163,204770,136398.575,276268628.10826
2021-07-15 02:00:00,2000.07,2012.68,1985.16,1989.68,132720.628,265169348.8345,115133,66136.858,132172138.31529
2021-07-15 03:00:00,1989.69,1990.96,1977.66,1977.91,88901.401,176377704.25093,93551,42732.133,84796827.89759
2021-07-15 04:00:00,1977.92,1984.42,1954.76,1973.12,196161.867,385861238.64271,154991,93959.53,184874207.48003
2021-07-15 05:00:00,1973.12,1973.26,1955.53,1963.64,101704.478,199707410.93117,100026,49584.715,97377041.76729
2021-07-15 06:00:00,1963.63,1972.0,1945.0,1955.11,136517.194,267181576.84628,121310,65255.683,127765844.2276
2021-07-15 07:00:00,1955.06,1960.56,1942.2,1953.67,113696.911,221958528.91518,111679,57783.217,112828905.01799
2021-07-15 08:00:00,1953.61,1968.93,1945.69,1956.59,150785.645,295163006.40766,137023,77129.748,151031883.03258
2021-07-15 09:00:00,1956.59,1978.0,1951.77,1966.49,155643.415,306225273.45159,134819,77891.524,153243843.60451
2021-07-15 10:00:00,1966.48,1976.0,1908.65,1915.43,337265.106,652381723.07306,253730,158162.825,305901186.64897
2021-07-15 11:00:00,1915.65,1922.93,1903.98,1912.84,171367.257,328123277.22787,147267,86880.293,166396531.52006
2021-07-15 12:00:00,1912.83,1940.0,1885.0,1898.22,369112.678,703667095.78311,295227,180913.793,345078867.78225
2021-07-15 13:00:00,1898.23,1925.0,1882.38,1918.84,253774.551,483683077.58148,205122,130783.549,249326211.21134
2021-07-15 14:00:00,1918.84,1934.5,1906.0,1917.84,176902.455,339681370.36712,155829,89613.972,172106902.57351
2021-07-15 15:00:00,1917.77,1929.47,1910.68,1913.32,122548.097,235104041.15542,113911,59900.766,114935746.07256
2021-07-15 16:00:00,1913.32,1918.39,1887.1,1904.83,222836.423,424138804.78043,174795,110852.808,211031864.77309
2021-07-15 17:00:00,1904.85,1908.92,1880.29,1899.55,194993.528,369184591.76506,171524,97121.487,183906538.21584
2021-07-15 18:00:00,1899.54,1925.0,1895.94,1914.6,137005.907,261720259.53486,123713,73084.329,139643875.40713
2021-07-15 19:00:00,1914.6,1929.0,1906.64,1917.26,101504.92,194520308.6909,105290,50070.319,95984685.36735
2021-07-15 20:00:00,1917.26,1929.93,1916.71,1925.95,64687.082,124401706.28242,79424,33944.791,65287661.02565
2021-07-15 21:00:00,1925.94,1936.0,1915.29,1918.19,60258.486,116085159.1614,76466,30418.553,58620934.89286
2021-07-15 22:00:00,1918.32,1935.21,1911.0,1922.29,77669.87,149412490.7696,88943,41307.3,79476674.74954
2021-07-15 23:00:00,1922.3,1929.42,1900.0,1919.35,104346.295,199616685.54359,102991,53488.017,102348427.37983
2021-07-16 00:00:00,1919.36,1927.01,1895.28,1907.11,130935.689,250166930.9397,133300,62157.502,118785465.09657
2021-07-16 01:00:00,1907.11,1929.48,1907.1,1925.0,100929.049,193810878.47131,98441,52832.337,101464337.01733
2021-07-16 02:00:00,1925.01,1958.45,1925.01,1946.85,205895.086,400596638.36348,168593,111146.267,216246177.78412
2021-07-16 03:00:00,1946.86,1956.66,1943.58,1948.65,89770.97,175048176.81229,95504,43231.546,84312081.78328
2021-07-16 04:00:00,1948.66,1965.85,1940.6,1945.54,124943.277,243741926.38442,116404,64263.471,125421302.64302
2021-07-16 05:00:00,1945.55,1949.94,1925.0,1929.1,115432.28,223438650.62791,114738,52009.346,100680730.09246
2021-07-16 06:00:00,1929.02,1929.5,1904.54,1908.34,130228.231,249466483.40082,126527,62315.09,119361914.77276
2021-07-16 07:00:00,1908.22,1918.0,1896.34,1912.32,147169.09,280724546.64567,124595,74508.107,142175139.10868
2021-07-16 08:00:00,1912.32,1913.62,1853.0,1871.5,324727.056,610823581.59286,257557,145085.894,272986760.42439
2021-07-16 09:00:00,1871.49,1878.8,1860.0,1869.16,154929.199,289734470.27829,145665,77299.675,144589676.21451
2021-07-16 10:00:00,1869.18,1874.8,1846.0,1866.71,231363.308,430712858.57278,193218,109691.319,204288034.66396
2021-07-16 11:00:00,1866.66,1871.0,1850.5,1851.68,136039.558,253056845.78472,129276,65857.201,122539440.12844
2021-07-16 12:00:00,1851.68,1895.12,1850.0,1889.43,348275.871,652979898.76047,259054,184476.934,345930550.77013
2021-07-16 13:00:00,1889.17,1916.24,1888.41,1897.23,265264.644,504071277.94699,216135,135493.438,257520235.75366
2021-07-16 14:00:00,1897.21,1914.0,1892.2,1907.1,152652.18,290587809.15456,133447,78052.618,148608195.48551
2021-07-16 15:00:00,1907.09,1933.85,1902.8,1933.74,239771.381,460124538.50678,193072,127682.002,245045115.73714
2021-07-16 16:00:00,1933.76,1940.0,1913.35,1927.95,235086.669,453097867.58721,190150,117572.594,226674652.34914
2021-07-16 17:00:00,1927.94,1935.63,1915.73,1924.53,100698.606,193772873.83724,94987,49943.297,96124749.99243
2021-07-16 18:00:00,1924.52,1925.55,1913.0,1917.47,71073.346,136401779.51991,77130,36253.016,69581541.50991
2021-07-16 19:00:00,1917.47,1926.07,1903.67,1913.29,117881.499,225521526.21572,97086,55231.863,105686312.48507
2021-07-16 20:00:00,1913.3,1920.58,1900.17,1901.32,78917.887,150762211.19531,85942,39391.622,75267244.97767
2021-07-16 21:00:00,1901.19,1904.24,1891.7,1894.6,86201.812,163678232.50696,93716,42003.505,79768238.39455
